Organism,In the presence of,MSI,Abundance
Aspergillus niger,Klebsiella pneumoniae,0.001449275,2.69498667
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-B2,0.001449275,2.69498667
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P3,0.001449275,2.69498667
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P4,0.001449275,2.69498667
Aspergillus niger,Penicillium chrysogenum,0.002173913,2.69498667
Aspergillus niger,Penicillium rubens,0.002173913,2.69498667
Aspergillus niger,Rhodotorula sp. JG-1b,0,2.69498667
Aspergillus niger,Rhodotorula toruloides,0,2.69498667
Klebsiella pneumoniae,Aspergillus niger,0.001182732,9.407239831
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-B2,0,9.407239831
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P3,0,9.407239831
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P4,0,9.407239831
Klebsiella pneumoniae,Penicillium chrysogenum,0.008870491,9.407239831
Klebsiella pneumoniae,Penicillium rubens,0.008870491,9.407239831
Klebsiella pneumoniae,Rhodotorula sp. JG-1b,0.005913661,9.407239831
Klebsiella pneumoniae,Rhodotorula toruloides,0.005913661,9.407239831
Klebsiella quasipneumoniae IF1SW-B2,Aspergillus niger,0.001191895,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella pneumoniae,0,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P3,0,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P4,0,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Penicillium chrysogenum,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Penicillium rubens,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula sp. JG-1b,0.005959476,1.063386426
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula toruloides,0.005959476,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Aspergillus niger,0.001191895,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella pneumoniae,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-B2,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-P4,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Penicillium chrysogenum,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Penicillium rubens,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula sp. JG-1b,0.005959476,1.063386426
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula toruloides,0.005959476,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Aspergillus niger,0.001191895,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella pneumoniae,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-B2,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-P3,0,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Penicillium chrysogenum,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Penicillium rubens,0.008939213,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula sp. JG-1b,0.005959476,1.063386426
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula toruloides,0.005959476,1.063386426
Penicillium chrysogenum,Aspergillus niger,0,2.034799847
Penicillium chrysogenum,Klebsiella pneumoniae,0.006016043,2.034799847
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-B2,0.006016043,2.034799847
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-P3,0.006016043,2.034799847
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-P4,0.006016043,2.034799847
Penicillium chrysogenum,Penicillium rubens,0,2.034799847
Penicillium chrysogenum,Rhodotorula sp. JG-1b,0,2.034799847
Penicillium chrysogenum,Rhodotorula toruloides,0,2.034799847
Penicillium rubens,Aspergillus niger,0,16.49518301
