Organism,In the presence of,MSI,Abundance
Penicillium rubens,Klebsiella pneumoniae,0.005988024,16.49518301
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-B2,0.005988024,16.49518301
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-P3,0.005988024,16.49518301
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-P4,0.005988024,16.49518301
Penicillium rubens,Penicillium chrysogenum,0,16.49518301
Penicillium rubens,Rhodotorula sp. JG-1b,0,16.49518301
Penicillium rubens,Rhodotorula toruloides,0,16.49518301
Rhodotorula sp. JG-1b,Aspergillus niger,0.001992032,59.3253609
Rhodotorula sp. JG-1b,Klebsiella pneumoniae,0,59.3253609
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-B2,0,59.3253609
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-P3,0,59.3253609
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-P4,0,59.3253609
Rhodotorula sp. JG-1b,Penicillium chrysogenum,0,59.3253609
Rhodotorula sp. JG-1b,Penicillium rubens,0,59.3253609
Rhodotorula sp. JG-1b,Rhodotorula toruloides,0,59.3253609
Rhodotorula toruloides,Aspergillus niger,0,1.345153937
Rhodotorula toruloides,Klebsiella pneumoniae,0.000935454,1.345153937
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-B2,0.000935454,1.345153937
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-P3,0.000935454,1.345153937
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-P4,0.000935454,1.345153937
Rhodotorula toruloides,Penicillium chrysogenum,0,1.345153937
Rhodotorula toruloides,Penicillium rubens,0,1.345153937
Rhodotorula toruloides,Rhodotorula sp. JG-1b,0,1.345153937
