Organism,In the presence of,MSI,Abundance
Enterobacter hormaechei,Escherichia coli,0.010955569080949523,1.334750476
Enterobacter hormaechei,Klebsiella pneumoniae,0.010955569080949523,1.334750476
Enterobacter hormaechei,Pantoea ananatis,0.002434570906877709,1.334750476
Enterobacter hormaechei,Pantoea dispersa,0.008520998174071814,1.334750476
Enterobacter hormaechei,Rahnella aquatilis,0.0,1.334750476
Escherichia coli,Enterobacter hormaechei,0.0,2.552833873
Escherichia coli,Klebsiella pneumoniae,0.0,2.552833873
Escherichia coli,Pantoea ananatis,0.0,2.552833873
Escherichia coli,Pantoea dispersa,0.0,2.552833873
Escherichia coli,Rahnella aquatilis,0.0,2.552833873
Klebsiella pneumoniae,Enterobacter hormaechei,0.0,1.199133236
Klebsiella pneumoniae,Escherichia coli,0.007096392667060858,1.199133236
Klebsiella pneumoniae,Pantoea ananatis,0.0,1.199133236
Klebsiella pneumoniae,Pantoea dispersa,0.0,1.199133236
Klebsiella pneumoniae,Rahnella aquatilis,0.0,1.199133236
Pantoea ananatis,Enterobacter hormaechei,0.03471376370280144,5.244580666
Pantoea ananatis,Escherichia coli,0.03654080389768577,5.244580666
Pantoea ananatis,Klebsiella pneumoniae,0.03654080389768577,5.244580666
Pantoea ananatis,Pantoea dispersa,0.0,5.244580666
Pantoea ananatis,Rahnella aquatilis,0.025578562728379994,5.244580666
Pantoea dispersa,Enterobacter hormaechei,0.07046388725778041,69.0179697
Pantoea dispersa,Escherichia coli,0.07633587786259544,69.0179697
Pantoea dispersa,Klebsiella pneumoniae,0.07398708162066936,69.0179697
Pantoea dispersa,Pantoea ananatis,0.0,69.0179697
Pantoea dispersa,Rahnella aquatilis,0.011156782149148614,69.0179697
Rahnella aquatilis,Enterobacter hormaechei,0.026548672566371723,1.395390991
Rahnella aquatilis,Escherichia coli,0.04011799410029504,1.395390991
Rahnella aquatilis,Klebsiella pneumoniae,0.04011799410029504,1.395390991
Rahnella aquatilis,Pantoea ananatis,0.026548672566371723,1.395390991
Rahnella aquatilis,Pantoea dispersa,0.0,1.395390991
