Org A,Org B,Effect
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-B2,-0.812
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P3,-0.812
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P4,-0.812
Aspergillus niger,Penicillium chrysogenum,0
Aspergillus niger,Penicillium rubens,0
Aspergillus niger,Rhodotorula sp. JG-1b,-1
Aspergillus niger,Rhodotorula toruloides,-1
Aspergillus niger,Klebsiella pneumoniae,-0.812
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-B2,-0.309
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P3,-0.309
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P4,-0.309
Klebsiella pneumoniae,Penicillium chrysogenum,0
Klebsiella pneumoniae,Penicillium rubens,0
Klebsiella pneumoniae,Rhodotorula sp. JG-1b,-1
Klebsiella pneumoniae,Rhodotorula toruloides,-1
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P3,-0.447
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P4,-0.447
Klebsiella quasipneumoniae IF1SW-B2,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-B2,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula toruloides,-0.992
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-P4,-0.447
Klebsiella quasipneumoniae IF1SW-P3,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-P3,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula toruloides,-0.992
Klebsiella quasipneumoniae IF1SW-P4,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-P4,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula toruloides,-0.992
Penicillium chrysogenum,Penicillium rubens,-0.989
Penicillium chrysogenum,Rhodotorula sp. JG-1b,-1
Penicillium chrysogenum,Rhodotorula toruloides,-1
Penicillium rubens,Rhodotorula sp. JG-1b,-1
Penicillium rubens,Rhodotorula toruloides,-1
Rhodotorula sp. JG-1b,Rhodotorula toruloides,-0.493
Klebsiella quasipneumoniae IF1SW-B2,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-P3,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-P4,Aspergillus niger,0
Penicillium chrysogenum,Aspergillus niger,-1
Penicillium rubens,Aspergillus niger,-1
Rhodotorula sp. JG-1b,Aspergillus niger,0
Rhodotorula toruloides,Aspergillus niger,0
Klebsiella pneumoniae,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella pneumoniae,-0.691
Penicillium chrysogenum,Klebsiella pneumoniae,-1
Penicillium rubens,Klebsiella pneumoniae,-1
Rhodotorula sp. JG-1b,Klebsiella pneumoniae,0
Rhodotorula toruloides,Klebsiella pneumoniae,0.548
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-B2,-0.553
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-B2,-0.553
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-B2,-1
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-B2,-1
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-B2,0
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-B2,0.535
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-P3,-0.553
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-P3,-1
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-P3,-1
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-P3,0
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-P3,0.535
Penicillium chrysogenum,Klebsiella quasipneumoniae IF1SW-P4,-1
Penicillium rubens,Klebsiella quasipneumoniae IF1SW-P4,-1
Rhodotorula sp. JG-1b,Klebsiella quasipneumoniae IF1SW-P4,0
Rhodotorula toruloides,Klebsiella quasipneumoniae IF1SW-P4,0.535
Penicillium rubens,Penicillium chrysogenum,0
Rhodotorula sp. JG-1b,Penicillium chrysogenum,0
Rhodotorula toruloides,Penicillium chrysogenum,0
Rhodotorula sp. JG-1b,Penicillium rubens,0
Rhodotorula toruloides,Penicillium rubens,0
Rhodotorula toruloides,Rhodotorula sp. JG-1b,-0.209
